Name,Handedness,Height (inches),Height (m),Weight (pounds),Weight (kg),AVG,Home Runs,BMI,Rounded BMI,BMI Category,Average Home Runs
Cecil Cooper,L,74,1.8796,165,74.84268,0.298,241,21.18451169,21,Normal,42.15
Ben Oglivie,L,74,1.8796,160,72.57472,0.273,235,20.54255679,21,Normal,0
Leo Cardenas,R,71,1.8034,150,68.0388,0.257,118,20.9205219,21,Normal,0
Juan Beniquez,R,71,1.8034,150,68.0388,0.274,79,20.9205219,21,Normal,0
Enos Cabell,R,76,1.9304,170,77.11064,0.277,60,20.69282047,21,Normal,0
David Green,R,75,1.905,170,77.11064,0.268,31,21.24830774,21,Normal,0
Johnnie LeMaster,R,74,1.8796,165,74.84268,0.222,22,21.18451169,21,Normal,0
Bill Voss,L,74,1.8796,160,72.57472,0.227,19,20.54255679,21,Normal,0
Dick Simpson,R,76,1.9304,176,79.832192,0.207,15,21.42315531,21,Normal,0
Sandy Alomar,B,69,1.7526,140,63.50288,0.245,13,20.67415687,21,Normal,0
Alan Wiggins,B,74,1.8796,160,72.57472,0.259,5,20.54255679,21,Normal,0
Frank Taveras,R,72,1.8288,155,70.30676,0.255,2,21.02154629,21,Normal,0
Danny Ainge,R,76,1.9304,175,79.3786,0.22,2,21.30143284,21,Normal,0
Jose Arcia,R,75,1.905,170,77.11064,0.215,1,21.24830774,21,Normal,0
Win Remmerswaal,R,74,1.8796,160,72.57472,0,0,20.54255679,21,Normal,0
Dave Rajsich,L,77,1.9558,175,79.3786,0,0,20.75174162,21,Normal,0
Oswaldo Peraza,R,76,1.9304,172,78.017824,0,0,20.93626542,21,Normal,0
Tony Ferreira,L,73,1.8542,160,72.57472,0,0,21.10922143,21,Normal,0
Charlie Mitchell,R,75,1.905,170,77.11064,0,0,21.24830774,21,Normal,0
Jim Dorsey,R,79,2.0066,190,86.18248,0,0,21.40411972,21,Normal,0
Tony Perez,R,74,1.8796,175,79.3786,0.279,379,22.46842149,22,Normal,29.30097087
Bobby Murcer,L,71,1.8034,160,72.57472,0.277,252,22.31522336,22,Normal,0
Oscar Gamble,L,71,1.8034,160,72.57472,0.265,200,22.31522336,22,Normal,0
Cesar Cedeno,R,74,1.8796,175,79.3786,0.285,199,22.46842149,22,Normal,0
Don Money,R,73,1.8542,170,77.11064,0.261,176,22.42854777,22,Normal,0
Jose Cardenal,R,70,1.778,150,68.0388,0.275,138,21.5225206,22,Normal,0
Davey Johnson,R,73,1.8542,170,77.11064,0.261,136,22.42854777,22,Normal,0
Garry Maddox,R,75,1.905,175,79.3786,0.285,117,21.87325797,22,Normal,0
Johnny Grubb,L,75,1.905,175,79.3786,0.278,99,21.87325797,22,Normal,0
Jerry Morales,R,70,1.778,155,70.30676,0.259,95,22.23993795,22,Normal,0
Mike Davis,L,74,1.8796,175,79.3786,0.259,91,22.46842149,22,Normal,0
Glenn Hubbard,R,69,1.7526,150,68.0388,0.244,70,22.15088236,22,Normal,0
Charley Smith,R,73,1.8542,170,77.11064,0.239,69,22.42854777,22,Normal,0
Art Shamsky,L,73,1.8542,168,76.203456,0.253,68,22.1646825,22,Normal,0
Bobby Knoop,R,73,1.8542,170,77.11064,0.236,56,22.42854777,22,Normal,0
Cesar Geronimo,L,72,1.8288,165,74.84268,0.258,51,22.37777508,22,Normal,0
Paul Casanova,R,76,1.9304,180,81.64656,0.225,50,21.91004521,22,Normal,0
Derrel Thomas,B,72,1.8288,160,72.57472,0.249,43,21.69966068,22,Normal,0
Andres Thomas,R,73,1.8542,170,77.11064,0.234,42,22.42854777,22,Normal,0
Rennie Stennett,R,71,1.8034,160,72.57472,0.274,41,22.31522336,22,Normal,0
Jerry Royster,R,72,1.8288,165,74.84268,0.249,40,22.37777508,22,Normal,0
Damaso Garcia,R,73,1.8542,165,74.84268,0.283,36,21.7688846,22,Normal,0
Bill Almon,R,75,1.905,180,81.64656,0.254,36,22.4982082,22,Normal,0
Jake Wood,R,73,1.8542,163,73.935496,0.25,35,21.50501933,22,Normal,0
Ed Goodson,L,75,1.905,180,81.64656,0.26,30,22.4982082,22,Normal,0
Rey Quinones,R,71,1.8034,160,72.57472,0.243,29,22.31522336,22,Normal,0
Bob Dernier,R,72,1.8288,160,72.57472,0.255,23,21.69966068,22,Normal,0
Marty Perez,R,71,1.8034,160,72.57472,0.246,22,22.31522336,22,Normal,0
Ron Washington,R,71,1.8034,155,70.30676,0.261,20,21.61787263,22,Normal,0
Thad Bosley,L,75,1.905,175,79.3786,0.272,20,21.87325797,22,Normal,0
Mark Belanger,R,73,1.8542,170,77.11064,0.228,20,22.42854777,22,Normal,0
Rudy Law,L,73,1.8542,165,74.84268,0.271,18,21.7688846,22,Normal,0
Tony Scott,B,72,1.8288,164,74.389088,0.249,17,22.2421522,22,Normal,0
Larry Bowa,B,70,1.778,155,70.30676,0.26,15,22.23993795,22,Normal,0
Vern Fuller,R,73,1.8542,170,77.11064,0.232,14,22.42854777,22,Normal,0
Don Kessinger,B,73,1.8542,170,77.11064,0.252,14,22.42854777,22,Normal,0
Ken Hubbs,R,74,1.8796,175,79.3786,0.247,14,22.46842149,22,Normal,0
Rafael Santana,R,73,1.8542,165,74.84268,0.246,13,21.7688846,22,Normal,0
Larry Milbourne,B,72,1.8288,161,73.028312,0.254,11,21.83528356,22,Normal,0
Brian Giles,R,73,1.8542,165,74.84268,0.228,10,21.7688846,22,Normal,0
Dave Rosello,R,71,1.8034,160,72.57472,0.236,10,22.31522336,22,Normal,0
Joe Simpson,L,75,1.905,175,79.3786,0.242,9,21.87325797,22,Normal,0
Rick Auerbach,R,72,1.8288,165,74.84268,0.22,9,22.37777508,22,Normal,0
Luis Melendez,R,72,1.8288,165,74.84268,0.248,9,22.37777508,22,Normal,0
Domingo Ramos,R,70,1.778,154,69.853168,0.24,8,22.09645448,22,Normal,0
Dick Tracewski,R,71,1.8034,160,72.57472,0.213,8,22.31522336,22,Normal,0
Ed Romero,R,71,1.8034,160,72.57472,0.247,8,22.31522336,22,Normal,0
Jimmy Stewart,B,72,1.8288,165,74.84268,0.237,8,22.37777508,22,Normal,0
Curt Ford,L,70,1.778,150,68.0388,0.245,7,21.5225206,22,Normal,0
Doug Griffin,R,72,1.8288,160,72.57472,0.245,7,21.69966068,22,Normal,0
Al Weis,B,72,1.8288,160,72.57472,0.219,7,21.69966068,22,Normal,0
Sonny Jackson,L,69,1.7526,150,68.0388,0.251,7,22.15088236,22,Normal,0
Mario Guerrero,R,70,1.778,155,70.30676,0.257,7,22.23993795,22,Normal,0
Bud Harrelson,B,71,1.8034,160,72.57472,0.236,7,22.31522336,22,Normal,0
Ted Martinez,R,72,1.8288,165,74.84268,0.24,7,22.37777508,22,Normal,0
