Name,Handedness,Height (inches),Height (m),Weight (pounds),Weight (kg),Batting Average,Home Runs,BMI,Rounded BMI,BMI Category,Average Home Runs
Cecil Cooper,L,74,1.8796,165,74.84268,0.298,241,21.18451169,21,Normal,238
Ben Oglivie,L,74,1.8796,160,72.57472,0.273,235,20.54255679,21,Normal,0
Tony Perez,R,74,1.8796,175,79.3786,0.279,379,22.46842149,22,Normal,241.2
Cesar Cedeno,R,74,1.8796,175,79.3786,0.285,199,22.46842149,22,Normal,0
Don Money,R,73,1.8542,170,77.11064,0.261,176,22.42854777,22,Normal,0
Bobby Murcer,L,71,1.8034,160,72.57472,0.277,252,22.31522336,22,Normal,0
Oscar Gamble,L,71,1.8034,160,72.57472,0.265,200,22.31522336,22,Normal,0
Dusty Baker,R,74,1.8796,183,83.007336,0.278,242,23.49554933,23,Normal,200.3
Tony Conigliaro,R,75,1.905,185,83.91452,0.264,166,23.12315842,23,Normal,0
Bobby Grich,R,74,1.8796,180,81.64656,0.266,224,23.11037639,23,Normal,0
Amos Otis,R,71,1.8034,165,74.84268,0.277,193,23.01257409,23,Normal,0
Frank White,R,71,1.8034,165,74.84268,0.255,160,23.01257409,23,Normal,0
Jimmy Wynn,R,70,1.778,160,72.57472,0.25,291,22.9573553,23,Normal,0
Willie Davis,L,74,1.8796,180,81.64656,0.279,182,23.11037639,23,Normal,0
Tony Oliva,L,73,1.8542,175,79.3786,0.304,220,23.08821094,23,Normal,0
Jose Cruz,L,72,1.8288,170,77.11064,0.284,165,23.05588948,23,Normal,0
Roy White,B,70,1.778,160,72.57472,0.271,160,22.9573553,23,Normal,0
Doug DeCinces,R,74,1.8796,190,86.18248,0.259,237,24.39428619,24,Normal,251.0689655
Nate Colbert,R,74,1.8796,190,86.18248,0.243,173,24.39428619,24,Normal,0
Lee May,R,75,1.905,195,88.45044,0.267,354,24.37305888,24,Normal,0
George Hendrick,R,75,1.905,195,88.45044,0.278,267,24.37305888,24,Normal,0
Dave Kingman,R,78,1.9812,210,95.25432,0.236,442,24.26766786,24,Normal,0
Bill Robinson,R,74,1.8796,189,85.728888,0.258,166,24.26589521,24,Normal,0
Jim Hickman,R,75,1.905,192,87.089664,0.252,159,23.99808874,24,Normal,0
Gary Matthews,R,74,1.8796,185,83.91452,0.281,234,23.75233129,24,Normal,0
Larry Parrish,R,75,1.905,190,86.18248,0.263,256,23.74810865,24,Normal,0
Ken McMullen,R,75,1.905,190,86.18248,0.248,156,23.74810865,24,Normal,0
George Foster,R,73,1.8542,180,81.64656,0.274,348,23.7478741,24,Normal,0
Buddy Bell,R,73,1.8542,180,81.64656,0.279,201,23.7478741,24,Normal,0
Bob Bailey,R,73,1.8542,180,81.64656,0.257,189,23.7478741,24,Normal,0
Rico Petrocelli,R,72,1.8288,175,79.3786,0.251,210,23.73400387,24,Normal,0
Toby Harrah,R,72,1.8288,175,79.3786,0.264,195,23.73400387,24,Normal,0
Graig Nettles,L,72,1.8288,180,81.64656,0.248,390,24.41211827,24,Normal,0
Keith Hernandez,L,72,1.8288,180,81.64656,0.296,162,24.41211827,24,Normal,0
Fred Lynn,L,73,1.8542,185,83.91452,0.283,306,24.40753727,24,Normal,0
Dwayne Murphy,L,73,1.8542,185,83.91452,0.246,166,24.40753727,24,Normal,0
Carl Yastrzemski,L,71,1.8034,175,79.3786,0.285,452,24.40727556,24,Normal,0
Rusty Staub,L,74,1.8796,190,86.18248,0.279,292,24.39428619,24,Normal,0
Jason Thompson,L,76,1.9304,200,90.7184,0.261,208,24.34449467,24,Normal,0
Willie Stargell,L,74,1.8796,188,85.275296,0.282,475,24.13750423,24,Normal,0
Rick Monday,L,75,1.905,193,87.543256,0.264,241,24.12307879,24,Normal,0
Joe Pepitone,L,74,1.8796,185,83.91452,0.258,219,23.75233129,24,Normal,0
Jim Northrup,L,75,1.905,190,86.18248,0.267,153,23.74810865,24,Normal,0
